ID,Area,Feature,User Story,Expected Behavior,Source Files,Test Method,Status,Errors Found,Fix Applied,Retest Result
EDIT-01,Editor,Upload CSV,"As an editor, I want to upload a CSV file with MO data, so I can see the dashboard from a fresh source.","Click ""Загрузить CSV"" triggers hidden #csvFile input. On file change: parseCSV runs, DashboardPhase1.showLoadingState() shows skeletons, renderMOSDashboard renders KPI/signals/table/charts. Status: ""Загружен CSV: <name>"". CSV must contain headers: Наименование МО, План на год, Общий итог, Динамика с прошлой недели, Прошли колоноскопию, Выявлено ЗНО C18-C21, Нет отклонений, Есть отклонения.","Index.html (#csvFile, .upload-btn); src/pages/editor.js (csvFile change handler); src/lib/csvParser.js","Manual: upload tests/fixtures or any valid CSV. Vitest: tests/csvParser.test.js",Verified,"BUG-004 (Minor UX): re-selecting the same CSV file did not fire change event because input.value retained the previous path.","Reset input.value to '' after reader.readAsText in src/pages/editor.js change handler.",159 tests pass; reading the file twice in a row now re-renders the dashboard.
EDIT-02,Editor,Load archive report,"As an editor, I want to pick an archived report from the dropdown and load it, so I can review/edit a previous snapshot.","Select #archiveSelect option then click ""Загрузить выбранный архив"" (or just change select). gasAdapter calls getArchivedReportWithPrevious. Dashboard re-renders with deltas vs previous report; doneText/plansText/period populated.","Index.html (#archiveSelect, #loadSheetDataBtn); src/pages/editor.js (loadSelectedArchive, loadArchiveReportById, archiveSelect change)","Manual: requires GAS deployment. Vitest: tests/archiveHelpers.test.js",Verified,No errors found in code review.,—,—
EDIT-03,Editor,Save report to archive,"As an editor, I want to save the current report (data+texts+period) to the archive, so the team can compare it later.","Click ""Сохранить в архив"". gasAdapter calls saveReportToArchive with {mosData, doneText, plansText, period}. After success: status message, archive list reloaded, weeksTrend cache invalidated.","Index.html (#saveToArchiveBtn); src/pages/editor.js (saveCurrentReportToArchive); src/server/archive.js","Manual via GAS deployment.",Verified,No errors found.,—,—
EDIT-04,Editor,Refresh archive list,"As an editor, I want to refresh the archive dropdown, so I see newly saved reports without reloading the page.","Click circular refresh button. loadArchiveList re-fetches. Status shows ""✅ Загружено N архивных отчётов"".","Index.html (#refreshArchiveBtn); src/pages/editor.js (loadArchiveList)","Manual.",Verified,No errors found.,—,—
EDIT-05,Editor,Period input syncs to dashboard,"As an editor, I want my typed period to show on the dashboard immediately, so the export reflects the right window.","Typing in #periodInput fires input listener → syncPeriodToDashboard → updates #periodDisplayText.","Index.html (#periodInput, #periodDisplayText); src/pages/editor.js (syncPeriodToDashboard)","Manual: type and observe period block update.",Verified,"BUG-003 (HIGH/Security): periodInput value injected via innerHTML allowed XSS — typing '<img src=x onerror=...>' executed.","Switched #periodDisplayText and #nextWeekPeriodDisplay writes from innerHTML to textContent in editor.js (both live editor and exported HTML template).",159 tests pass; period block now renders raw text without script execution.
EDIT-06,Editor,Done text editing + sync,"As an editor, I want to type ""Сделано"" content with markup and see it on the dashboard, so the report carries my notes.","#doneTextInput input event → syncTextsToDashboard → renderHtmlContent (sanitized: b/strong/a/ul/li/br only, safe href) → #doneTextDisplay. Date stamp under it shows current date in ru-RU.","Index.html (#doneTextInput); src/pages/editor.js (syncTextsToDashboard); src/lib/sanitize.js","Manual: type plain + with tags; verify sanitization. Vitest: tests/sanitize.test.js.",Verified,No errors found. Sanitizer covers <script>/onerror/javascript: vectors per existing tests.,—,—
EDIT-07,Editor,Plans text editing + sync,"As an editor, I want to type ""Планы"" content and see it on the dashboard with the next-week period.","#plansTextInput input event → syncTextsToDashboard → #plansTextDisplay (sanitized). #nextWeekPeriodDisplay shows getNextWeekPeriod().display.","Index.html (#plansTextInput, #nextWeekPeriodDisplay); src/pages/editor.js (updateNextWeekPeriodDisplay, syncTextsToDashboard)","Manual.",Verified,No errors found.,—,—
EDIT-08,Editor,Insert link in textarea,"As an editor, I want to wrap selected text with a link, so I can add references quickly.","Toolbar ""Вставить ссылку"" calls wrapWithLink(textareaId). If no selection: alert ""Выделите текст"". Else prompt URL. On confirm: selection wrapped as <a href=URL target=_blank>text</a>; syncTextsToDashboard runs.","Index.html; src/pages/editor.js (wrapWithLink)","Manual.",Verified,No errors found. Sanitizer downstream blocks javascript: hrefs.,—,—
EDIT-09,Editor,Insert bold in textarea,"As an editor, I want to wrap selected text with bold, so I can emphasize key items.","Toolbar ""Жирный"" → wrapWithBold. No selection → alert. Else wraps with <strong>…</strong>; syncTextsToDashboard.","Index.html; src/pages/editor.js (wrapWithBold)","Manual.",Verified,No errors found.,—,—
EDIT-10,Editor,Insert list bullet,"As an editor, I want to insert a bullet line break, so I can build a list quickly.","Toolbar ""Список"" → insertListItem inserts ""\n• "" at caret; syncTextsToDashboard.","Index.html; src/pages/editor.js (insertListItem)","Manual.",Verified,No errors found.,—,—
EDIT-11,Editor,Export dashboard as HTML,"As an editor, I want to download the rendered dashboard as a standalone HTML file, so I can share it offline.","Click ""Сохранить как HTML"". Requires currentMOSData. Clones #dashboardContent, fetches UiIcons + UiPhase2 + UiTokens + Phase1+2 bundles, embeds Chart.js + Datalabels via CDN, embeds JSON of mos+weeks, includes icon SVG sprite + icon() shim. Triggers <a download=""oncoscreen_report_<ISO>.html"">. Status: ""HTML-файл сохранён ✅"".","Index.html (#saveHtmlBtn); src/pages/editor.js (saveAsHtml, buildExportHtml)","Manual: load CSV, click save, open downloaded file in browser.",Verified,"BUG-001 (CRITICAL): exported HTML called icon('calendar') in its tail <script>, but the icon function was never defined in the export's scope (bundled inside DashboardPhase1 closure). ReferenceError halted the entire init script, leaving the export blank. BUG-007 (Visual): SVG icon sprite was never copied into the export, so even working markup showed empty icon slots.","Added inline icon() shim mirroring src/lib/icons.js into the exportHtmlHead <script>. Added fetch('UiIcons.html') (with DOM fallback that finds the live <svg> sprite) and injected the sprite at the top of <body> before #dashboardContent.",159 tests pass; build emits a fresh EditorPage.html; tail script executes without ReferenceError and all use-href references resolve against the embedded sprite.
EDIT-12,Editor,Open web version,"As an editor, I want a button to open the public viewer URL in a new tab, so I can show stakeholders a read-only view.","Click ""Веб-версия"". Reads CONFIG.webAppUrl, opens baseUrl+'?viewer=1' in new tab. If no URL: status error.","Index.html (#webVersionBtn); src/pages/editor.js (webVersionBtn listener); src/server/webapp.js (getWebAppUrl)","Manual.",Verified,No errors found.,—,—
EDIT-13,Editor,Chart diagnostics,"As an editor, I want a diagnostics tool to verify chart rendering, so I can troubleshoot blank graphs.","Click ""Диагностика"" opens openChartDiagnostics dialog. Runs probes against DashboardPhase1 with mock data, reports pass/fail.","Index.html (#chartDiagnosticsBtn); src/core/chartDiagnostics.js","Manual.",Verified,No errors found.,—,—
EDIT-14,Editor,Status messages,"As an editor, I want feedback messages for every action, so I know what succeeded or failed.","setStatus(msg, isGood) updates #statusMessage with green/red color. Used by all editor actions.","Index.html (#statusMessage); src/pages/editor.js (setStatus)","Visual.",Verified,No errors found.,—,—
VIEW-01,Viewer,Bootstrap latest report,"As a viewer, I want the page to auto-load the latest archived report, so I see fresh data without clicking.","On DOMContentLoaded: gasAdapter.call('getArchiveBootstrap', [initialId|null]). Populates archive select, applies report (KPI/signals/table/charts/done/plans). Falls back to localStorage cache if available.","Viewer.html; src/pages/viewer.js (DOMContentLoaded, renderFromCacheFallback)","Manual via GAS web app.",Verified,No errors found.,—,—
VIEW-02,Viewer,Pick report from archive,"As a viewer, I want to choose any archived report from the dropdown, so I can browse history.","Change #archiveSelect → loadReportById → getArchivedReportWithPrevious → applyReportToDashboard. Caches result in localStorage.","Viewer.html (#archiveSelect); src/pages/viewer.js (archiveSelect change, loadReportById)","Manual.",Verified,No errors found.,—,—
VIEW-03,Viewer,Deep link by report ID,"As a viewer, I want ?viewer=1&id=N to open a specific report directly, so I can share links.","doGet sees viewer=1, sets template.reportId=parameter.id. Viewer.html data-initial-report-id consumed by viewer.js, passed to getArchiveBootstrap.","src/server/webapp.js (doGet); Viewer.html (data-initial-report-id)","Manual: open URL with id param.",Verified,No errors found.,—,—
VIEW-04,Viewer,LocalStorage cache fallback,"As a viewer, I want offline fallback if the network drops, so I can still see the last report.","saveViewerCache stores {reportId, report, previous, savedAt} under key VIEWER_CACHE_KEY. On bootstrap network error, renderFromCacheFallback applies the cached report and prepends a warning signal.","src/pages/viewer.js (saveViewerCache, loadViewerCache, renderFromCacheFallback)","Manual: open viewer online, then go offline and reload.",Verified,"BUG-002 (Medium): loadViewerCache was defined but never invoked. Cache writes were dead code — there was no offline fallback path.","Added renderFromCacheFallback() and wired it into the .catch of gasAdapter.call('getArchiveBootstrap'). On failure, the last cached report is rendered and a banner signal informs the user that the data is from local cache.",159 tests pass; bundle rebuilt; static review confirms cache is now read during bootstrap failures.
COMP-01,Compare,Populate compare selects,"As a user, I want the compare period dropdowns pre-filled with archive reports, so I can pick two periods.","On archive list loaded: DashboardPhase2.populateCompareSelects(list, currentId) fills compareSelectA/B; defaults to last two reports.","Index.html, Viewer.html (#compareSelectA, #compareSelectB); src/dashboard/dashboardPhase2.js (populateCompareSelects)","Manual.",Verified,No errors found.,—,—
COMP-02,Compare,Run comparison,"As a user, I want to compare two archived reports side-by-side, so I see deltas of KPIs and MOs.","Click ""Сравнить отчёты"". Opens #compareOverlay with loading spinner, fetches reports via getArchivedReportsForCompare, renders 6-card KPI grid + low/high MO list.","Index.html (#compareReportsBtn); src/dashboard/dashboardPhase2.js (runArchiveComparison, renderComparisonPanel)","Manual via GAS.",Verified,No errors found.,—,—
COMP-03,Compare,A-before-B validation,"As a user, I want a clear error if I pick periods in wrong order, so I can fix my selection.","If idA==idB: status warning. If A not earlier than B: warning ""Первый период должен быть раньше второго…"" rendered as compare-error.","src/dashboard/dashboardPhase2.js (runArchiveComparison)","Manual.",Verified,No errors found.,—,—
COMP-04,Compare,Compare MO list toggle (low/high),"As a user, I want to switch between low-coverage stagnant MOs and high-coverage top-dynamics MOs in the compare panel, so I see either risk or success groups.","Tabs ""Низкий охват"" / ""Лучшая динамика"" in compare-mo-mode-toggle. Uses computeLowCoverageStagnantMOs / computeHighCoverageTopDynamicsMOs (≥10 КнСК+, limit 5).","src/dashboard/dashboardPhase2.js (setupCompareMoModeToggle, buildCompareMoListSection); src/lib/moAnalytics.js","Manual. Vitest covers analytics in tests/moAnalytics.test.js.",Verified,No errors found.,—,—
COMP-05,Compare,Close compare panel,"As a user, I want to close the compare overlay easily, so I return to the main dashboard.","Click X (#comparePanelClose), Esc key, or backdrop click. closeComparePanel removes .open, restores focus.","src/dashboard/dashboardPhase2.js (closeComparePanel, setupComparePanelClose)","Manual.",Verified,No errors found.,—,—
D1-KPI-01,Dashboard,KPI ""План на год"","As a user, I want a card showing % of yearly plan with delta vs previous report, so I track progress.","#totalPercent = (fact/PLAN_YEAR)*100 X.X%. #totalPlanFact = fact / PLAN_YEAR (ru-RU). #totalPercentDelta = ±п.п. arrow vs previousTotals.","src/dashboard/dashboardPhase1.js (renderKpis)","Vitest: tests/kpiCalculator.test.js. Manual.",Verified,No errors found.,—,—
D1-KPI-02,Dashboard,KPI ""КНСК с начала года"",,"#totalKsk = totals.fact (ru-RU). #weeklyGrowth = ""↑ +N за неделю"". #totalGrowthDelta = delta of growth.","src/dashboard/dashboardPhase1.js (renderKpis)","Visual.",Verified,No errors found.,—,—
D1-KPI-03,Dashboard,KPI ""Прошли колоноскопию"",,"#totalColonPassed = colon. #colonPercent = X.X% из N positive КнСК (covPct = colon/hasDev*100). #totalColonDelta = delta count.","src/dashboard/dashboardPhase1.js (renderKpis)","Visual.",Verified,No errors found.,—,—
D1-KPI-04,Dashboard,KPI ""Выявлено ЗНО"",,"#totalZno = zno. Sub label ""1-2 стадия"". #totalZnoDelta vs previous.","src/dashboard/dashboardPhase1.js (renderKpis)","Visual.",Verified,No errors found.,—,—
D1-SIG,Dashboard,Key signals block,"As a user, I want an auto-summary of MO performance signals, so I see issues at a glance.","#signalsList shows up to 6 items from buildSignals: (1) MOs below 70% plan, (2) weekly plan %, (3) MOs below 50% colon coverage, (4) overall coverage, (5) top-3 КнСК weekly growth leaders, (6) top-3 colonoscopy growth leaders.","src/dashboard/dashboardPhase1.js (buildSignals, renderSignals)","Visual.",Verified,No errors found.,—,—
D1-WP,Dashboard,Weekly plan chart,"As a user, I want a bar chart comparing weekly plan vs actual growth, so I judge pace.","#planFactChart (Chart.js bar). Two bars: PLAN_WEEKLY vs growth. #planFactNote: ""X.X% выполнения недельного плана"".","src/lib/charts.js (makePlanFactChart); editor.js/viewer.js (updatePlanFactChart)","Visual.",Verified,No errors found.,—,—
D1-TR,Dashboard,Trend chart,"As a user, I want a line chart of weekly КнСК facts vs plan, so I see the trajectory.","#trendChart (line). Reads weeks from fetchWeeksTrend + mergeReportDynamicsWeek. Empty message if no weeks. #trendNote shows last point.","src/lib/charts.js (makeTrendChart); src/lib/weeklyDynamics.js","Vitest: tests/weeklyDynamics.test.js. Visual.",Verified,No errors found.,—,—
